Location,Mooring code,Location,Latitude (°S),Longitude (°E),Mooring type,Deployment dates,Days,Length (mm),degree days,Growth rate (mm/day),,,Code,Days,Mean length (mm),Standard error,Growth rate (mm/day)
SE Australia,17,Sydney,34.18,151.17,Puerulus float,13/12/2018 - 14/01/2019,32,31.63,629.22225,0.988,,,17,32,31.63,0,0.9884375
SE Australia,18,Sydney,34.15,151.12,Puerulus float,13/12/2018 - 14/01/2019,32,22.12,646.4235625,0.691,,,18,32,22.12,0,0.69125
SE Australia,19,Forster,32.05,152.55,Puerulus float,13/12/2018 - 14/01/2019,32,30.19,605.8688958,0.943,,,19,32,30.19,0,0.9434375
SE Australia,20,Bondi,33.89,151.32,Fixed mooring,08/01/2019 - 11/02/2019,34,38.156,733.5236521,1.129,,,20,34,37.299,0.857,1.097029412
SE Australia,20,Bondi,33.89,151.32,Fixed mooring,08/01/2019 - 11/02/2019,34,36.442,733.5236521,1.071823529,,,21,29,27.41233333,0.325,0.945252873
SE Australia,21,Bondi,33.89,151.32,Fixed mooring,11/02/2019 - 12/03/2019,29,27.996,668.5529193,0.955,,,24,31,33.2,0,1.070967742
SE Australia,21,Bondi,33.89,151.32,Fixed mooring,11/02/2019 - 12/03/2019,29,27.37,668.5529193,0.943793103,,,25,31,44.95,0,1.45
SE Australia,21,Bondi,33.89,151.32,Fixed mooring,11/02/2019 - 12/03/2019,29,26.871,668.5529193,0.926586207,,,26,31,35.18666667,0.834,1.135053764
SE Australia,24,Ulladulla,35.44,150.42,Puerulus float,14/01/2019 - 14/02/2019,31,33.2,655.3638958,1.071,,,Japan1,28.356,6.557,0.223,0.231238539
SE Australia,25,Forster,32.21,152.57,Puerulus float,14/01/2019 - 14/02/2019,31,44.95,607.9460625,1.45,,,Japan2,34.856,7.768,0.296,0.222859766
SE Australia,26,Sydney,34.18,151.17,Puerulus float,14/01/2019 - 14/02/2019,31,36.84,636.5686458,1.188,,,Japan3,33.115,6.113,0.234,0.184599124
SE Australia,26,Sydney,34.18,151.17,Puerulus float,14/01/2019 - 14/02/2019,31,34.17,636.5686458,1.102258065,,,Japan4,38.4,5.02,0.15,0.130729167
SE Australia,26,Sydney,34.18,151.17,Puerulus float,14/01/2019 - 14/02/2019,31,34.55,636.5686458,1.114516129,,,Hoek1907,40,20,0,0.5
,,,,,,,,,,,,,JapanField,42,16.26,0.49,0.387142857
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,indicates data taken from Inatsuchi et al. (2010) and Hoek 1907,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,
