logSA,logcount
0.550228353,1.963787827
1.803593665,1.799340549
1.507451061,1.51851394
1.451325808,1.342422681
1.633165354,1.568201724
1.843357378,1.857332496
2.698535493,2.556302501
2.577422859,2.633468456
3.045940724,1.462397998
4.754481203,4
4.699243958,2.903089987
1.182129214,1.113943352
1.875466416,2.85308953
1.653212514,0.477121255
2.192177026,1.86923172
3.298956509,2.77815125
3.925255867,3.176091259
2.135641416,2.602059991
2.534772147,1.477121255
1.120541029,1.886490725
1.798885336,2.698970004
1.637479723,1
1.515820878,2.354108439
1.780533325,2.84509804
1.126163889,2.276461804
1.85043792,2.698970004
1.66130145,1.662757832
1.479287316,2.176091259
2.312685006,2.252853031
1.893495446,2.698970004
0.68730596,2.274157849
0.529558673,1.462397998
0.613207352,1.414973348
0.654080235,1.77815125
2.391143377,1.897627091
2.718152452,1
0.68730596,0.954242509
1.670894954,1.531478917
1.274771895,1.380211242
1.727091033,1.832508913
1.117685501,1.204119983
1.783250718,1.84509804
1.794501988,1.041392685
2.73285194,2.301029996
1.823800154,1.77815125
2.219788267,1.954242509
0.532499586,1.041392685
1.719629555,1.51851394
1.718634531,1.255272505
1.591798946,1.832508913
