Code,delta18O,normalise,,,
anatifera,-0.008449787,-0.525299787,,,0.023049737
anatifera,-0.03212372,-0.54897372,,,0.214183043
anatifera,-0.010593279,-0.527443279,,,0.096848678
anatifera,-0.057896771,-0.574746771,,,
indica,-0.072324355,-0.589174355,,,
indica,0.383784496,-0.133065504,,,
indica,-0.023184655,-0.540034655,,,
indica,-0.174731474,-0.691581474,,,
indica,0.090941939,-0.425908061,,,
testudinata,-0.343172127,-0.860022127,,,
testudinata,-0.200930617,-0.717780617,,,
testudinata,-0.291271533,-0.808121533,,,
testudinata,-0.101085399,-0.617935399,,,
testudinata,-0.300825687,-0.817675687,,,
